"age","gender","college.degree","degree.level","non.sandler.trained","sandler.trained","prior.Industry","current.job.sales.years","avg.percent.of.revenue.goal","AS1","AS2","AS3","AS4","AS5","AS6","AS7","AS8","AS9","AS10","SC1","SC2","SC3","SC4","SC5","SC6","SC7","SC8","SC9","SC10","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10"
30,1,"y","Associates","no","yes","Retail",2,"65%",5,2,4,4,5,4,1,1,1,1,5,4,5,4,4,1,1,1,2,1,5,5,5,4,2,1,1,1,2,1,4,3,4,3,5,1,4,4,2,2
18,1,"n","Bachelors","no","no","Accounting",2,"10%",3,2,2,4,2,4,4,3,4,1,3,2,4,3,3,4,3,2,4,3,5,4,4,3,4,4,2,5,2,4,3,1,4,2,5,4,5,5,2,2
32,1,"n","none","no","yes","Training",2,"10%",3,4,4,3,3,3,4,3,3,1,2,3,1,2,1,3,4,4,3,4,3,4,4,4,3,1,1,3,3,2,3,2,4,4,4,4,4,3,4,2
18,1,"n","Bachelors","no","no","Accounting",1,"10%",2,4,3,2,5,4,3,2,1,1,3,3,3,2,3,3,2,4,4,4,5,5,4,4,2,1,1,2,1,1,5,5,5,4,4,3,5,5,4,4
25,1,"y","Bachelors","no","yes","Financial",2,"50%",5,4,3,3,4,3,2,4,2,4,4,5,3,4,3,2,3,2,2,3,2,2,4,4,4,4,4,4,1,3,4,4,2,2,4,4,4,4,2,2
26,1,"n","none","no","yes","Financial",2,"70%",5,4,4,4,3,4,3,2,2,1,4,4,3,4,4,2,2,1,2,3,2,5,5,5,4,3,2,3,2,2,4,3,4,3,4,3,4,4,3,3
27,1,"n","none","no","no","Office Manager",0,"50%",3,2,2,4,3,3,3,4,2,2,4,3,2,2,2,3,3,2,4,4,4,5,4,4,2,1,1,2,2,2,2,2,2,2,2,1,3,2,1,2
30,1,"y","Associates","no","yes","Training",1,"70%",4,4,3,3,3,3,3,3,1,2,5,5,3,4,3,2,4,2,2,3,4,4,5,5,3,1,2,2,1,1,4,4,3,3,3,2,3,3,3,2
31,1,"y","Bachelors","no","yes","Training",1,"70%",4,4,2,4,2,2,4,4,2,2,4,1,1,4,4,4,2,2,2,2,4,5,4,4,2,2,2,4,2,4,2,2,4,2,4,2,2,4,2,2
18,1,"n","Bachelors","no","no","Accounting",1,"10%",5,5,5,5,5,5,1,1,2,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,1,1,2,5,1,5,5,4,5,4,5,5,5,4,5
18,1,"n","Bachelors","no","no","Accounting",2,"10%",4,4,2,3,4,3,2,4,1,4,3,2,1,4,3,2,1,4,4,2,4,5,5,5,3,2,4,5,1,4,5,3,5,4,4,3,4,5,2,2
18,1,"n","none","no","no","Administration",1,"10%",5,5,4,5,4,4,2,2,1,1,5,5,3,4,5,1,1,1,1,1,4,3,4,3,3,3,3,4,2,1,5,5,5,5,5,5,5,5,5,5
18,1,"n","unknown","no","no","unknown",1,"10%",4,3,2,3,3,4,4,3,1,1,4,4,2,4,3,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3
19,1,"n","none","no","no","Administration",1,"10%",4,3,4,4,4,5,2,3,2,1,5,4,4,4,4,3,2,2,3,1,5,5,5,5,4,4,4,4,2,3,2,3,2,3,4,4,4,5,5,4
19,1,"n","none","no","no","Administration",1,"20%",4,4,3,4,3,3,2,2,1,1,5,5,2,4,3,1,2,2,1,1,3,5,5,5,4,1,2,2,2,2,3,3,3,3,3,3,4,2,2,2
19,1,"y","unknown","no","no","none",1,"10%",5,5,5,4,5,4,1,1,1,1,5,5,5,5,5,1,1,1,1,2,4,5,5,5,4,1,1,3,1,1,5,5,5,3,3,4,3,5,5,4
21,1,"n","none","no","yes","none",1,"30%",2,3,2,3,3,3,4,3,1,2,3,3,3,2,3,2,3,3,3,2,2,4,4,3,4,3,2,3,2,3,3,3,2,3,4,3,3,3,3,3
23,1,"y","Associates","no","yes","Construction",1,"50%",4,4,3,3,4,4,3,3,2,2,5,3,2,4,3,2,2,2,2,2,4,5,5,5,2,2,2,3,2,2,4,4,4,3,3,3,4,3,2,2
23,1,"y","Bachelors","no","yes","Programmer",1,"70%",4,2,2,2,3,2,3,3,2,2,5,2,4,4,2,4,3,1,2,2,3,5,5,5,4,4,4,3,2,3,3,3,2,3,3,2,4,3,2,1
24,1,"n","none","no","no","Construction",1,"50%",3,4,4,4,3,3,4,4,1,2,4,2,5,5,5,3,4,2,2,2,3,2,4,4,3,3,3,4,2,5,4,4,3,4,4,4,5,5,4,4
24,1,"n","none","no","no","Construction",1,"10%",5,4,4,5,5,4,2,3,2,2,5,4,1,5,5,3,1,2,3,3,4,5,5,4,3,1,1,4,1,1,4,4,3,3,1,2,4,5,3,5
24,1,"y","Bachelors","no","no","Manufacturing",1,"50%",3,3,4,5,4,3,2,3,2,2,5,4,3,3,5,2,1,2,2,2,4,4,5,5,2,1,1,2,1,2,3,3,2,2,2,3,2,4,2,2
25,1,"y","Bachelors","no","yes","Technology",1,"50%",4,5,3,4,4,4,2,1,2,1,5,4,5,4,4,2,1,2,4,1,3,4,5,4,2,2,2,4,5,1,4,3,4,5,3,3,3,5,2,2
25,1,"n","none","no","no","Restaurant",1,"20%",3,4,4,4,2,4,3,4,1,1,4,5,4,4,3,1,2,2,2,2,4,5,5,5,2,2,1,2,1,1,4,4,5,5,4,5,4,4,4,5
28,1,"n","none","no","yes","Programmer",1,"10%",4,4,3,4,3,3,4,3,2,2,4,4,4,4,4,2,2,2,2,1,2,4,5,4,4,2,2,4,2,3,4,4,4,2,4,4,4,4,4,4
28,1,"y","Bachelors","no","yes","Office Manager",1,"70%",5,5,5,4,4,5,1,2,2,1,4,5,4,5,4,1,3,3,1,1,4,2,4,5,4,2,2,3,2,1,3,2,5,4,5,4,4,5,4,5
29,1,"n","none","no","yes","Banking",1,"20%",3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,3,2,3,3,3,4,3,3,4,3,5,5,3,3
29,1,"y","Associates","no","yes","Retail ",1,"50%",4,3,3,4,2,3,4,3,1,3,3,3,2,4,2,3,3,3,4,2,2,2,4,3,5,4,4,5,2,4,5,5,5,2,2,2,2,2,2,1
21,1,"y","Associates","yes","no","none",1,"50%",3,4,3,2,1,4,2,2,4,2,3,2,3,3,2,3,3,2,4,2,3,4,4,3,2,3,2,4,1,2,3,2,4,4,4,4,4,4,4,3
24,1,"y","Associates","yes","no","Insurance",1,"20%",2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,3,4,4,4,4,2,4,4,3,4,2,2,4,2,2,2,2,2,2,2,2,3,4,2,2
26,1,"y","Associates","yes","no","Manufacturing",1,"50%",5,3,3,4,3,3,3,3,3,2,2,5,3,5,3,3,3,2,2,2,3,3,4,3,3,3,3,3,2,3,4,4,4,3,3,3,3,4,3,3
20,1,"y","Associates","no","no","Business Manager",1,"10%",2,2,3,3,3,4,4,4,4,4,2,2,1,2,3,3,2,4,4,4,2,2,4,3,4,4,3,4,1,3,4,4,4,3,4,4,2,3,3,1
20,1,"y","Associates","no","no","Office Manager",1,"10%",5,4,5,5,3,4,2,1,1,3,4,5,4,5,4,3,2,3,3,2,4,5,5,3,3,4,4,3,2,1,4,5,2,1,3,5,3,2,4,4
20,1,"y","Associates","no","no","Sales",1,"10%",4,5,4,4,4,4,2,2,2,2,3,4,4,4,3,2,2,3,2,2,5,4,4,4,2,1,1,2,1,1,4,4,4,2,3,4,3,4,2,2
20,1,"y","Associates","no","no","Sales",1,"10%",2,4,4,4,4,4,2,3,3,2,4,3,3,2,3,3,3,2,2,1,3,5,5,4,4,3,3,4,4,3,5,5,5,4,5,4,5,5,3,3
20,1,"y","Associates","no","no","Sales",1,"10%",4,5,4,3,2,4,2,3,1,1,3,5,2,4,3,2,2,3,2,2,3,4,5,4,2,3,2,4,1,3,2,4,5,3,5,4,3,5,5,5
20,1,"y","Associates","no","no","Sales",1,"10%",4,4,2,3,5,4,2,3,1,1,5,4,3,4,3,1,4,1,2,2,5,5,4,4,2,2,1,2,1,2,4,3,4,2,2,3,4,4,2,3
20,1,"y","Associates","yes","no","Restaurant",1,"10%",2,1,1,2,2,1,5,4,4,3,1,1,4,1,2,5,5,5,5,4,5,4,5,5,4,2,1,4,2,3,2,2,3,4,5,2,4,5,3,2
20,1,"y","Associates","yes","no","Banking",1,"10%",4,4,4,4,3,3,1,3,3,2,4,4,4,4,3,2,3,1,2,1,3,4,5,4,4,3,3,4,4,3,5,5,5,5,5,4,5,5,4,3
